publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
Koei Tecmo,1.04,124,0.057777777777777775,0.02,14,10,10,0.34074342751472025,0
IE Institute,1.03,88,0.11444444444444445,0.04,7,5,4,0.03275136162994134,0.1111111111111111
Funbox Media,1.02,12,0.1275,0.055,6,7,5,0.07726352865494181,0.125
SouthPeak Interactive,1.01,49,0.042083333333333334,0.03,11,14,12,0.05968476250647214,0
Answer Software,1,4,0.5,0.5,2,1,1,1.2201658153766892,1
Frontier Developments,1,27,0.25,0.225,11,9,2,0.3422224582273021,0.25
Prototype,0.98,81,0.016896551724137933,0.01,14,9,3,0.024357012012617824,0
"Destination Software, Inc",0.97,22,0.057058823529411766,0.03,8,2,9,0.022100264192206533,0
Taxan,0.96,10,0.96,0.96,4,2,3,1.7967434025828186,1
Hip Interactive,0.95,23,0.06785714285714285,0.035,5,4,8,0.10258807817080166,0.07142857142857142
Jorudan,0.95,18,0.31666666666666665,0.3,9,7,7,0.08629353090048388,0
Screenlife,0.9199999999999999,8,0.15333333333333332,0.11499999999999999,4,4,4,0.1430106266235043,0.16666666666666666
CTO SpA,0.9,2,0.45,0.45,2,1,2,0.2049288864257663,0.5
Mud Duck Productions,0.9,16,0.225,0.215,3,3,6,0.08728533193331926,0.25
Victor Interactive,0.89,72,0.09888888888888889,0.08,18,13,10,0.06577843338554965,0
Microids,0.88,58,0.03666666666666667,0.02,15,12,11,0.07710212884308985,0
Nihon Falcom Corporation,0.87,11,0.087,0.06,6,4,3,0.06580292557555917,0
Quelle,0.87,3,0.87,0.87,2,1,2,1.5379176241824288,1
TalonSoft,0.87,23,0.87,0.87,8,4,4,0.24383408071748877,1
"mixi, Inc",0.86,2,0.86,0.86,2,2,1,0.2986629623198472,1
Tecmo,0.85,94,0.09444444444444444,0.1,24,19,12,0.021727387597394954,0
Ackkstudios,0.8400000000000001,16,0.084,0.065,5,11,5,0.052128062891692827,0
NEC Interchannel,0.83,99,0.083,0.07,18,12,10,0.04752116498566884,0
NovaLogic,0.8200000000000001,29,0.1366666666666667,0.01,13,5,2,0.07983415969808609,0.16666666666666666
Spike Chunsoft,0.81,42,0.05785714285714286,0.02,10,6,6,2.338287849558046,0.07142857142857142
ArtDink,0.8,31,0.06153846153846154,0.02,14,11,5,0.03971026326496489,0
Harmonix Music Systems,0.8,6,0.4,0.4,4,5,2,0.277826011460323,0.5
Graffiti,0.78,30,0.052000000000000005,0.04,7,7,8,0.05076075353697058,0
EA Sports BIG,0.77,7,0.385,0.385,5,6,1,0.07459213939540027,0.5
Gun Media,0.75,4,0.375,0.375,2,4,1,0.39078782826177577,0.5
Pioneer LDC,0.74,13,0.185,0.14,6,3,5,0.10902491117363627,0.25
Gamebridge,0.73,17,0.365,0.365,7,7,7,0.04943782001573033,0.5
Kadokawa Games,0.73,40,0.03173913043478261,0.02,9,9,6,0.046407257763782316,0
Nicalis,0.72,44,0.08,0.06,8,10,7,0.20545783641264423,0
Starfish,0.72,54,0.06,0.02,16,10,7,0.02152827700106348,0
Home Entertainment Suppliers,0.7100000000000001,9,0.14200000000000002,0.05,2,5,2,0.03431101037721354,0
Navarre Corp,0.7100000000000001,4,0.2366666666666667,0.05,2,3,3,0.030271829935632495,0.3333333333333333
Quest,0.71,4,0.71,0.71,3,3,2,0.6512566501559347,1
SCS Software,0.71,6,0.1775,0.11,5,1,2,0.06461795376514569,0.25
Aspyr,0.7000000000000001,61,0.041176470588235294,0.01,14,12,10,0.0384819342531737,0
Illusion Softworks,0.7,3,0.35,0.35,3,2,2,0.15780693448757835,0.5
ITT Family Games,0.68,2,0.34,0.34,2,1,1,0.7534835957761397,0
GameMill,0.6799999999999999,20,0.068,0.055,10,7,7,0.09923691610167218,0
Magix,0.66,3,0.22,0.31,3,1,1,0.05636690505621734,0
